1, 1923.14
2, 2370.84
4, 2453.27
8, 2811.96
16, 3743.51
32, 5105.44
64, 8325.08
128, 14551.2
256, 28975
512, 52518.2
1024, 100700
2048, 210422
4096, 421529
8192, 872925
16384, 1.62075E+06
