1, 1562.3, 1745.1, 2695.46
2, 1598.47, 1727.79, 3158.14
4, 1644.52, 1797.48, 3721.67
8, 1654.77, 1927.92, 5125.99
16, 1717.26, 2235.6, 7158.47
32, 1893.04, 2540.07, 12319.7
64, 2109.73, 3355.18,
128, 2700.68, 5075.67,
256, 3900.28, 8436.39,
512, 5822.94, 15297.1,
1024, 9904.6, 29099.3,
2048, 18696.9, 56664,
4096, 37732.5, 113011,
8192, 71596.6, 226924,
16384, 143403, 454193,
32768, 279044, 901882,
